  JENDL-4.0 NFY Fm255                                                0         0
 3.409400+4 0.000000+0 2.45077-13 1.56849-13 3.409500+4 0.000000+09936 8454  145
 2.14983-14 1.37589-14 3.409600+4 0.000000+0 0.000000+0 0.000000+09936 8454  146
 3.507700+4 0.000000+0 2.09889-14 1.34329-14 3.507700+4 1.000000+09936 8454  147
 6.87072-14 4.39726-14 3.507800+4 0.000000+0 6.14180-12 3.93076-129936 8454  148
 3.507900+4 0.000000+0 5.75568-11 3.68364-11 3.507900+4 1.000000+09936 8454  149
 1.88413-10 1.20584-10 3.508000+4 0.000000+0 1.660250-9 1.062560-99936 8454  150
 3.508000+4 1.000000+0 5.007420-9 3.204750-9 3.508100+4 0.000000+09936 8454  151
 1.002130-7 6.413660-8 3.508200+4 0.000000+0 7.637050-7 4.887710-79936 8454  152
 3.508200+4 1.000000+0 3.257460-7 2.084770-7 3.508300+4 0.000000+09936 8454  153
 7.153860-6 4.578470-6 3.508400+4 0.000000+0 1.064430-5 6.812360-69936 8454  154
 3.508400+4 1.000000+0 1.917170-5 1.226990-5 3.508500+4 0.000000+09936 8454  155
 9.942950-5 6.363500-5 3.508600+4 0.000000+0 1.778050-4 8.046520-59936 8454  156
 3.508700+4 0.000000+0 2.401460-4 1.536940-4 3.508800+4 0.000000+09936 8454  157
 2.121940-4 1.358050-4 3.508900+4 0.000000+0 1.212380-4 7.759270-59936 8454  158
 3.509000+4 0.000000+0 4.671340-5 2.989660-5 3.509100+4 0.000000+09936 8454  159
 1.073570-5 6.870880-6 3.509200+4 0.000000+0 1.537930-6 9.842760-79936 8454  160
 3.509300+4 0.000000+0 1.379130-7 8.826440-8 3.509400+4 0.000000+09936 8454  161
 7.530910-9 4.819780-9 3.509500+4 0.000000+0 6.35827-10 4.06929-109936 8454  162
 3.509600+4 0.000000+0 4.90154-12 3.13699-12 3.509700+4 0.000000+09936 8454  163
 9.89352-14 6.33185-14 3.509800+4 0.000000+0 0.000000+0 0.000000+09936 8454  164
 3.509900+4 0.000000+0 0.000000+0 0.000000+0 3.510000+4 0.000000+09936 8454  165
 0.000000+0 0.000000+0 3.607900+4 0.000000+0 0.000000+0 0.000000+09936 8454  166
 3.607900+4 1.000000+0 0.000000+0 0.000000+0 3.608000+4 0.000000+09936 8454  167
 9.16805-13 5.86755-13 3.608100+4 0.000000+0 3.95543-11 2.53148-119936 8454  168
 3.608100+4 1.000000+0 6.06773-12 3.88335-12 3.608200+4 0.000000+09936 8454  169
 1.736370-9 1.111280-9 3.608300+4 0.000000+0 3.053520-8 1.954250-89936 8454  170
 3.608300+4 1.000000+0 7.069730-9 4.524630-9 3.608400+4 0.000000+09936 8454  171
 5.139670-7 3.289390-7 3.608500+4 0.000000+0 4.358710-6 2.789580-69936 8454  172
 3.608500+4 1.000000+0 1.009160-6 6.458640-7 3.608600+4 0.000000+09936 8454  173
 2.838730-5 1.816780-5 3.608700+4 0.000000+0 1.077640-4 6.896910-59936 8454  174
 3.608800+4 0.000000+0 2.602180-4 1.665400-4 3.608900+4 0.000000+09936 8454  175
 4.203510-4 2.690250-4 3.609000+4 0.000000+0 4.647430-4 2.974350-49936 8454  176
 3.609100+4 0.000000+0 3.335030-4 2.134420-4 3.609200+4 0.000000+09936 8454  177
 1.530090-4 9.792590-5 3.609300+4 0.000000+0 4.714010-5 3.016970-59936 8454  178
 3.609400+4 0.000000+0 8.900160-6 5.696100-6 3.609500+4 0.000000+09936 8454  179
 1.070950-6 6.854110-7 3.609600+4 0.000000+0 7.530910-8 4.819780-89936 8454  180
 3.609700+4 0.000000+0 4.335880-9 2.774960-9 3.609800+4 0.000000+09936 8454  181
 9.18790-11 5.88025-11 3.609900+4 0.000000+0 7.63588-13 4.88697-139936 8454  182
 3.610000+4 0.000000+0 1.06167-14 6.79467-15 3.610100+4 0.000000+09936 8454  183
